time,tag,value
2025-12-02T08:38:56Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:38:56Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:38:56Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:38:57Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:38:57Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:38:57Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:38:58Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:38:58Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:38:58Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:38:59Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:38:59Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:38:59Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:39:00Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:39:00Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:39:01Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:39:01Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:39:01Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:39:01Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:39:02Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:39:02Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:39:03Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:39:03Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:39:03Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:39:03Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:39:04Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:39:04Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:39:05Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:39:05Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:39:05Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:39:05Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:39:06Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:39:06Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:39:07Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:39:07Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:39:07Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:39:07Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:39:09Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:39:09Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:39:09Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
2025-12-02T08:39:09Z,#LD0/LLN0.AnOut1.phsA.mag MV,UNSUPPORTED_TYPE_15
2025-12-02T08:39:09Z,#LD0/TOTW.W.current MX,UNSUPPORTED_TYPE_15
2025-12-02T08:39:10Z,DCSRelay/VI1GGIO137.ST.SPCSO,UNSUPPORTED_TYPE_15
2025-12-02T08:39:11Z,# Example targets.txt - one entry per line: <objectRef> <FC>,READ_ERROR
2025-12-02T08:39:11Z,# Lines starting with # are comments,READ_ERROR
2025-12-02T08:39:11Z,#LD0/LLN0.Mod.stVal ST,UNSUPPORTED_TYPE_15
