time,tag,value
{1,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:40:03Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{TRUE,0000000000000,2020-01-18T16:46:59Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{1,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:47:04Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
{FALSE,0000000000000,2020-01-18T16:04:47Z}
